State,District,population,population_proper,Location,EnergySource,WaterConsumption,SGD %,AQI,AQI_Bucket,Waste Type,Disposal Method,Recycling Rate (%),Cost of Waste Management (₹/Ton)
BIHAR,Araria,9747074,6136551.57,Rural,Thermal,62096606.95,86.4,283,Moderate,Non-Biodegradable,Incineration,88.31778916,3064
BIHAR,Arwal,408912,321977.4029,Urban,Mixed,194762961,41.4,72,Good,Mixed,Recycling,45.14248564,2320
BIHAR,Aurangabad,3814994,3408053.546,Suburban,Wind,357774197.3,72.1,144,Satisfactory,Non-Biodegradable,Incineration,32.70741913,3733
BIHAR,Banka,6293019,5452769.304,Urban,Hydro,416117085.7,50.1,274,Moderate,Mixed,Recycling,79.49429023,2456
BIHAR,Begusarai,8080942,5938649.742,Rural,Solar,302279259.7,66.5,48,Very Poor,Non-Biodegradable,Composting,46.40648611,2169
BIHAR,Bhabhua,881318,686626.0754,Urban,Solar,202504357.2,82.6,43,Severe,Mixed,Recycling,41.57426388,4323
BIHAR,Bhagalpur,1690687,1541432.289,Suburban,Hydro,181661764.2,93.4,218,Severe,Biodegradable,Incineration,75.42175111,2973
BIHAR,Bhojpur,1864126,1304339.233,Rural,Hydro,351153741.7,46.4,382,Moderate,E-Waste,Recycling,13.59103338,3873
BIHAR,Buxar,2060057,1598263.191,Urban,Wind,24593247.13,69.2,289,Poor,Biodegradable,Composting,72.33826195,2073
BIHAR,Darbhanga,9911436,7535296.153,Suburban,Mixed,189960392.8,65.5,286,Severe,E-Waste,Composting,83.20283173,1000
BIHAR,East Champaran,6227568,4837419.385,Urban,Hydro,473939324.4,87.8,199,Satisfactory,Non-Biodegradable,Landfill,87.85764952,4645
BIHAR,Gaya,2142665,1778978.366,Rural,Solar,301094388.6,58.9,210,Severe,Non-Biodegradable,Incineration,43.32496696,3796
BIHAR,Gopalganj,9790643,8828430.539,Urban,Wind,384883427,62.6,246,Satisfactory,Non-Biodegradable,Recycling,25.80640243,1379
BIHAR,Jamui,2609516,2444955.519,Suburban,Solar,401995957.4,81.8,89,Good,E-Waste,Landfill,47.58953709,2386
BIHAR,Jehanabad,3912320,3679755.569,Rural,Thermal,174963411.3,56.6,69,Moderate,Mixed,Composting,78.23635573,3919
BIHAR,Katihar,6626239,4277647.299,Urban,Solar,249078896.6,66.4,195,Severe,Non-Biodegradable,Incineration,40.86396941,2745
BIHAR,Khagaria,9675916,6077460.665,Suburban,Hydro,35377464.82,49.9,282,Severe,Biodegradable,Composting,59.37144451,4007
BIHAR,Kishanganj,3741363,2317776.525,Urban,Solar,266897357.2,65.7,40,Good,Non-Biodegradable,Composting,88.34030361,2202
BIHAR,Lakhisarai,7015373,4664014.589,Rural,Mixed,217944144.5,60.1,350,Good,Non-Biodegradable,Recycling,27.40215176,3282
BIHAR,Madhepura,2497682,2321101.767,Urban,Mixed,216084843.8,93.3,390,Very Poor,E-Waste,Composting,50.1803676,4225
BIHAR,Madhubani,649962,499318.6031,Suburban,Mixed,113881969.1,87.4,354,Satisfactory,E-Waste,Landfill,52.28734776,1623
BIHAR,Munger,5433587,4728136.16,Rural,Hydro,354497184,49.2,368,Severe,Mixed,Composting,35.84352043,837
BIHAR,Muzaffarpur,5890100,5573821.49,Urban,Solar,346102421.6,43.4,350,Satisfactory,Non-Biodegradable,Landfill,53.11870274,3225
BIHAR,Nalanda,6462496,5124972.528,Suburban,Wind,439811681.4,89.9,277,Very Poor,Non-Biodegradable,Incineration,56.09122058,2871
BIHAR,Nawada,5084347,3055109.795,Urban,Solar,239127599.2,94.9,231,Poor,Non-Biodegradable,Landfill,56.68744698,1988
BIHAR,Patna,6071901,5375149.645,Rural,Mixed,197988570.4,70.4,321,Very Poor,Mixed,Incineration,68.90571791,1453
BIHAR,Purnia,2223377,1951596.494,Urban,Solar,99108378.87,72.6,380,Good,E-Waste,Recycling,21.97210943,2855
BIHAR,Rohtas,3405928,2546941.969,Suburban,Mixed,474991473.2,72.6,280,Severe,Mixed,Composting,82.15380645,533
BIHAR,Saharsa,6194247,4450335.656,Rural,Hydro,216784932,58.6,319,Poor,E-Waste,Recycling,21.08881321,1389
BIHAR,Samastipur,2433037,2276812.373,Urban,Thermal,245228827.7,66.1,178,Very Poor,Non-Biodegradable,Incineration,19.82460556,4236
BIHAR,Saran,1679453,1135047.964,Suburban,Mixed,258920668.2,47,322,Satisfactory,E-Waste,Incineration,70.10039374,3888
BIHAR,Sheihkpura,57117,36235.12487,Urban,Thermal,278214233.1,40.6,164,Very Poor,Non-Biodegradable,Composting,75.21636625,1620
BIHAR,Sheohar,3026123,2632934.141,Rural,Thermal,494813651.8,78.3,179,Very Poor,E-Waste,Composting,84.40501957,2450
BIHAR,Sitamarhi,6202582,5513916.834,Urban,Solar,147084200.5,80,42,Satisfactory,Biodegradable,Composting,73.57355905,4476
BIHAR,Siwan,6829471,6099603.373,Suburban,Wind,234693958.4,45.5,208,Good,Non-Biodegradable,Landfill,61.66182517,3180
BIHAR,Supaul,2103367,1742573.288,Rural,Hydro,200637265.1,46,211,Poor,E-Waste,Landfill,84.38019981,3588
BIHAR,Vaishali,9672225,7604205.098,Urban,Hydro,3848309.57,81.3,203,Very Poor,E-Waste,Recycling,21.20967332,3449
BIHAR,West Champaran,9543703,7272347.157,Suburban,Hydro,386067856.9,55,97,Very Poor,Mixed,Composting,49.60685092,764
CHATTISGARH,Balod,6247718,5038167.921,Urban,Wind,65902120.63,77.6,181,Good,Mixed,Composting,79.61042968,3634
CHATTISGARH,Baloda Bazar,7843017,5693126.108,Rural,Hydro,240491301.7,88.9,358,Very Poor,Non-Biodegradable,Landfill,45.00013635,2483
CHATTISGARH,Balrampur,7016323,6655549.318,Urban,Thermal,255171746.1,86.8,251,Poor,E-Waste,Landfill,87.68540443,1982
CHATTISGARH,Bastar,5512980,4224470.337,Suburban,Hydro,255391969.2,55.3,158,Very Poor,Biodegradable,Composting,61.5913506,4411
CHATTISGARH,Bemetara,404861,352695.8409,Rural,Solar,341317083.6,43.5,137,Very Poor,Biodegradable,Landfill,64.5724931,896
CHATTISGARH,Bijapur,6566791,4280563.94,Urban,Mixed,396896775.8,70.2,162,Good,Non-Biodegradable,Recycling,50.20198571,2038
CHATTISGARH,Bilaspur,4347991,3312801.534,Suburban,Wind,373869155.8,41.6,109,Very Poor,Non-Biodegradable,Recycling,19.04667169,4200
CHATTISGARH,Dantewara,9562856,7879525.651,Rural,Mixed,486890581.7,94.5,209,Very Poor,Non-Biodegradable,Composting,70.8109244,3118
CHATTISGARH,Dhamtari,7366219,4432631.294,Urban,Thermal,150947309.8,51.8,147,Poor,Biodegradable,Recycling,67.82779574,1135
CHATTISGARH,Durg,7486238,6889804.483,Suburban,Solar,158894951.1,90.3,208,Good,Biodegradable,Composting,57.95269042,4504
CHATTISGARH,Gariaband,6144944,5593068.73,Urban,Wind,171537942.7,83.7,364,Poor,Biodegradable,Composting,39.88712826,2719
CHATTISGARH,Janjgir-Champa,7538932,4569732.091,Rural,Thermal,242588218.1,83.7,275,Very Poor,Biodegradable,Composting,18.28449156,3328
CHATTISGARH,Jashpur,895176,580976.5782,Urban,Wind,131396207,48.5,243,Good,E-Waste,Incineration,27.32154978,1796
CHATTISGARH,Kanker,3345929,2910245.344,Suburban,Mixed,335369931,76.6,220,Satisfactory,Biodegradable,Recycling,88.89181601,2411
CHATTISGARH,Kawardha,8299754,5892406.714,Rural,Mixed,289320265.3,68.3,264,Moderate,E-Waste,Incineration,24.89943108,4414
CHATTISGARH,Kondagaon,2744882,2460490.495,Urban,Solar,439628220.9,61.3,259,Poor,Biodegradable,Recycling,22.47795425,4952
CHATTISGARH,Korba,1135238,928968.1876,Suburban,Mixed,69832630.67,72.4,274,Moderate,Mixed,Composting,26.31303302,4649
CHATTISGARH,Koriya,8259690,5243913.523,Urban,Hydro,291326616.1,82.5,200,Good,Biodegradable,Recycling,67.41490058,2923
CHATTISGARH,Mahasamund,8522596,6531310.399,Rural,Thermal,26303559.55,65.9,172,Poor,E-Waste,Composting,53.75464983,2795
CHATTISGARH,Mungeli,7817744,5967959.868,Urban,Wind,401233557.1,62.1,288,Moderate,Mixed,Landfill,67.12761751,1795
CHATTISGARH,Narayanpur,7724643,6967849.946,Suburban,Thermal,237740250.7,42.4,347,Severe,Non-Biodegradable,Landfill,57.82080169,4565
CHATTISGARH,Raigarh,3956171,3425869.954,Rural,Thermal,9978435.61,85.8,335,Severe,E-Waste,Composting,30.00433266,4082
CHATTISGARH,Raipur,1030418,818597.0408,Urban,Solar,48220737.48,86.9,63,Satisfactory,E-Waste,Incineration,25.63438859,2394
CHATTISGARH,Rajnandgaon,374999,286479.7561,Suburban,Wind,379488918.9,78,138,Satisfactory,E-Waste,Landfill,49.79108382,3770
CHATTISGARH,Sukma,4248155,3176873.619,Urban,Wind,317640984.1,60.2,161,Severe,Non-Biodegradable,Composting,20.72683349,2400
CHATTISGARH,Surajpur,5367941,4252200.152,Rural,Hydro,257768285.9,72.2,148,Moderate,Biodegradable,Incineration,32.8350635,1064
CHATTISGARH,Surguja,9756655,8933361.234,Urban,Hydro,177779353.4,76.7,268,Poor,Mixed,Incineration,43.4619232,2348
DELHI,Central Delhi,7480703,6297588.832,Suburban,Thermal,331836974.6,70.9,386,Satisfactory,Mixed,Landfill,16.35721585,2743
DELHI,East Delhi,7408223,7000754.486,Rural,Mixed,22120776.1,59.4,76,Satisfactory,Non-Biodegradable,Recycling,36.89399214,2119
DELHI,New Delhi,4745599,2972248.481,Urban,Mixed,145430922.6,62.8,214,Good,Mixed,Recycling,77.25558271,673
DELHI,North Delhi,1895675,1714669.809,Urban,Solar,204590004.7,46.5,261,Satisfactory,Mixed,Landfill,79.53960011,1103
DELHI,North East Delhi,513549,319981.4076,Suburban,Thermal,82192983.89,48.4,127,Moderate,E-Waste,Recycling,39.36915676,3131
DELHI,North West Delhi,2763188,2082939.975,Rural,Mixed,6710550.25,52.2,113,Good,Biodegradable,Incineration,81.91317524,2065
DELHI,Shahdara,6862967,4578545.785,Urban,Thermal,253210568.3,69,56,Moderate,Mixed,Composting,29.65930058,2206
DELHI,South Delhi,8832074,7060135.795,Suburban,Solar,334390338.3,47.1,69,Severe,Biodegradable,Composting,11.82650979,3526
DELHI,South East Delhi,6429252,5355591.132,Urban,Mixed,99793893.97,93.7,54,Poor,E-Waste,Recycling,12.02510378,2812
DELHI,South West Delhi,3850622,3137402.715,Rural,Hydro,389745017.2,81.3,155,Very Poor,Mixed,Incineration,74.42465846,3646
DELHI,West Delhi,6250485,5505974.268,Urban,Hydro,423480660.3,53.3,144,Moderate,Non-Biodegradable,Incineration,36.64726449,1602
DELHI,Non Revenue Unit,608902,380560.5022,Suburban,Mixed,445096983.3,59.3,106,Satisfactory,Mixed,Landfill,34.99002728,4205
GOA,North Goa,7396276,4673990.212,Rural,Wind,334072249.7,62.7,241,Poor,Mixed,Composting,78.56876766,4307
GOA,South Goa,6068435,5507166.333,Urban,Mixed,442216471.1,59.9,109,Moderate,E-Waste,Incineration,15.98475976,3494
GUJARAT,Ahmedabad,9530548,8576832.933,Suburban,Thermal,95159838.56,51.5,98,Very Poor,Non-Biodegradable,Composting,63.99340311,1624
GUJARAT,Amreli,6690087,4669002.081,Urban,Wind,9629779.91,54.7,391,Poor,E-Waste,Composting,26.38312178,1411
GUJARAT,Anand,1645111,1035716.356,Rural,Wind,342631513.6,46,375,Moderate,Non-Biodegradable,Composting,63.99160775,1077
GUJARAT,Arvalli,7670683,5012355.167,Urban,Solar,15642647.91,77.6,378,Satisfactory,Biodegradable,Landfill,61.29874194,2985
GUJARAT,Banaskantha,6981992,5333967.128,Suburban,Hydro,397417617.2,64.5,94,Very Poor,Mixed,Landfill,21.92272245,3095
GUJARAT,Bharuch,7050856,5977350.654,Rural,Mixed,231705746.8,86.3,373,Very Poor,E-Waste,Landfill,21.79434626,823
GUJARAT,Bhavnagar,1820640,1229126.669,Urban,Thermal,248106881,43.5,312,Good,E-Waste,Recycling,69.70699428,1987
GUJARAT,Botad,9518869,5934563.362,Suburban,Wind,441412792.6,74.9,57,Good,E-Waste,Incineration,35.45397864,4911
GUJARAT,Chhota udepur,374751,227718.6192,Urban,Solar,355655873.7,89.7,389,Satisfactory,Non-Biodegradable,Recycling,78.40941648,706
GUJARAT,Dahod,4770003,2969227.517,Rural,Hydro,93793810.69,74.7,206,Very Poor,E-Waste,Landfill,19.54183062,1787
GUJARAT,Dang,8700488,7151765.634,Urban,Hydro,408263902.2,79.7,121,Very Poor,Non-Biodegradable,Recycling,44.82772124,4521
GUJARAT,Devbhumi Dwarka,8381145,5686300.473,Suburban,Mixed,404468273.9,90.9,86,Severe,Mixed,Landfill,65.68536754,3658
GUJARAT,Gandhinagar,4045293,3250194.882,Rural,Solar,473447577.3,70.9,297,Moderate,Mixed,Recycling,65.38907288,2208
GUJARAT,Gir Somnath,5019465,4165776.15,Urban,Wind,222499990,52.2,271,Good,Biodegradable,Landfill,55.6575463,4701
GUJARAT,Jamnagar,3551520,2708496.763,Urban,Wind,148470587.6,55.9,53,Poor,Mixed,Incineration,89.4973073,4355
GUJARAT,Junagadh,5841017,3728184.704,Suburban,Mixed,409854404.4,90.9,202,Very Poor,Biodegradable,Incineration,40.66899361,3502
GUJARAT,Kachchh,8980348,5612205.948,Rural,Mixed,352850324.5,70.5,328,Good,Biodegradable,Incineration,17.19753095,969
GUJARAT,Kheda,3693590,2301545.834,Urban,Hydro,227918384.8,53.2,391,Moderate,E-Waste,Landfill,76.57158457,2667
GUJARAT,Mahesana,5668600,4716460.277,Suburban,Mixed,213138032.7,66.5,116,Satisfactory,Mixed,Composting,81.17368957,1229
GUJARAT,Mahisagar,313270,279271.7325,Urban,Thermal,443513963.2,81,236,Moderate,Non-Biodegradable,Landfill,83.73214246,2575
GUJARAT,Morbi,9577165,7084239.916,Rural,Solar,287037256.3,63.6,283,Satisfactory,E-Waste,Incineration,77.03367107,3238
GUJARAT,Narmada,6821234,5183667.993,Urban,Thermal,53477625.44,86.8,235,Very Poor,Mixed,Composting,25.48850215,2009
GUJARAT,Navsari,7341256,6848422.336,Suburban,Thermal,56472148.83,68.3,46,Very Poor,Biodegradable,Landfill,25.07633845,798
GUJARAT,Panchmahal,1959530,1695915.452,Rural,Wind,315208878.1,85.5,182,Good,Mixed,Incineration,56.92583722,2713
GUJARAT,Patan,468787,383869.723,Urban,Wind,414257864.9,42.7,90,Very Poor,E-Waste,Composting,33.20585536,3069
GUJARAT,Porbandar,3886440,3519053.254,Suburban,Mixed,228936244.2,69.4,107,Moderate,E-Waste,Landfill,19.62736202,1707
GUJARAT,Rajkot,6962520,4900595.917,Urban,Hydro,484696587.8,50.5,358,Very Poor,Mixed,Incineration,24.14233326,3974
GUJARAT,Sabarkantha,4924356,4392309.028,Rural,Hydro,391307396.6,87,183,Good,E-Waste,Incineration,51.36619594,1998
GUJARAT,Surat,782620,549359.09,Urban,Mixed,126893734.7,53.4,137,Very Poor,E-Waste,Recycling,51.65008099,3589
GUJARAT,Surendranagar,1191006,788107.712,Suburban,Thermal,387819919.9,78.5,364,Poor,Biodegradable,Recycling,74.49630432,2681
GUJARAT,Tapi,862338,715110.33,Rural,Wind,253207575.5,41.4,362,Very Poor,Non-Biodegradable,Composting,62.12779913,3569
GUJARAT,Vadodara,8557819,7677733.175,Urban,Wind,160427709.8,89.6,367,Poor,Mixed,Composting,85.78456039,4988
GUJARAT,Valsad,3474661,2241288.66,Suburban,Wind,334152441.1,71.8,311,Good,Non-Biodegradable,Composting,18.51200002,3338
HARYANA,Ambala,8142774,6747752.034,Urban,Thermal,369629354.4,44.7,310,Good,E-Waste,Landfill,30.3308115,3321
HARYANA,Bhiwani,6089088,4340529.257,Rural,Hydro,30963519.71,78.8,377,Severe,Mixed,Composting,37.35584842,4656
HARYANA,Charki Dadri,2653207,1745340.649,Urban,Hydro,131622582.6,85.7,156,Good,Mixed,Landfill,51.58998244,3334
HARYANA,Faridabad,9913138,7520556.221,Suburban,Thermal,148205277.7,52.9,53,Very Poor,Biodegradable,Composting,25.08605478,1359
HARYANA,Fatehabad,321031,257150.6116,Rural,Thermal,99145181.76,69.1,177,Moderate,E-Waste,Incineration,47.37986609,2368
HARYANA,Gurugram,4477683,4069189.238,Urban,Thermal,143340028.9,49.8,99,Good,Biodegradable,Recycling,67.6210995,2438
HARYANA,Hisar,5743358,4294419.058,Urban,Thermal,31452329.34,59.9,177,Very Poor,E-Waste,Incineration,80.62163458,4632
HARYANA,Jhajjar,3661399,3357946.778,Suburban,Hydro,430164617.4,63.4,383,Good,E-Waste,Incineration,81.04955119,673
HARYANA,Jind,4851534,3599441.102,Rural,Mixed,229207477.1,90.4,377,Poor,Non-Biodegradable,Landfill,30.95624432,2025
HARYANA,Kaithal,3202646,2243713.678,Urban,Mixed,71097542.3,58.9,197,Moderate,E-Waste,Incineration,27.15551228,2882
HARYANA,Karnal,2373847,1897401.482,Suburban,Solar,290361083.7,41.5,248,Poor,Biodegradable,Landfill,22.59308051,1638
HARYANA,Kurukshetra,4253598,2804528.898,Urban,Hydro,369663697,86,242,Severe,E-Waste,Incineration,81.92059985,2669
HARYANA,Mahendragarh,2464417,2025840.454,Rural,Mixed,436753393.3,54.6,104,Severe,Biodegradable,Recycling,87.39783059,578
HARYANA,Mewat,122143,77360.13014,Urban,Solar,461344963.2,72,250,Severe,Non-Biodegradable,Incineration,61.62386319,3419
HARYANA,Palwal,5857091,4666068.896,Suburban,Mixed,16434474.88,70,123,Moderate,Mixed,Composting,87.46702427,2089
HARYANA,Panchkula,7024187,5453836.459,Rural,Wind,378869567.3,48.7,361,Good,Non-Biodegradable,Composting,40.96245724,4671
HARYANA,Panipat,1531048,1197215.99,Urban,Thermal,110839753.9,50.1,224,Satisfactory,Biodegradable,Landfill,66.53278705,3619
HARYANA,Rewari,3219768,2308424.616,Suburban,Hydro,207908113.5,73.8,40,Very Poor,Biodegradable,Composting,77.78370369,4526
HARYANA,Rohtak,7474808,6597521.753,Urban,Wind,395773418.8,50.2,189,Poor,E-Waste,Incineration,44.95510747,4370
HARYANA,Sirsa,7620052,6733324.519,Rural,Mixed,246124490.2,78.7,189,Good,Mixed,Incineration,70.98898082,2440
HARYANA,Sonipat,8362530,5679157.819,Urban,Wind,5002708.31,66.8,320,Satisfactory,Biodegradable,Composting,79.20897126,4871
HARYANA,Yamunanagar,545351,485409.4962,Suburban,Mixed,73499037.88,65.4,222,Moderate,Biodegradable,Composting,68.84004861,1390
HIMACHAL,Indora,9949522,7812199.868,Rural,Thermal,257451287.2,74.6,206,Severe,Mixed,Composting,66.50816351,2845
HIMACHAL,Nurpur,1033618,702269.6673,Urban,Mixed,32381255.85,65.5,67,Poor,Biodegradable,Composting,79.67522232,1591
HIMACHAL,Balh,656661,570708.3426,Suburban,Hydro,330134964.3,46.2,277,Moderate,E-Waste,Recycling,65.21943566,2807
HIMACHAL,Paonta,752412,564088.1395,Urban,Mixed,55603023.74,48.1,173,Moderate,E-Waste,Recycling,86.04761678,3750
HIMACHAL,Kala Amb,7265315,6866873.896,Rural,Hydro,342843124.5,53.3,96,Good,Non-Biodegradable,Landfill,36.40297558,3688
HIMACHAL,Nalagarh,1040830,883443.4807,Urban,Mixed,338917869.2,55.1,261,Poor,E-Waste,Landfill,44.26274011,3256
