state,population,peak_demand_MW,annual_generation_GWh,total_installed_capacity_MW,coal_MW,gas_MW,hydro_MW,nuclear_MW,solar_utility_MW,solar_rooftop_MW,wind_MW,biomass_MW,other_renewables_MW,renewables_share_percent,CO2_emissions_MtCO2,TnD_losses_percent,storage_capacity_MWh,pumped_hydro_MW_MWh,battery_storage_MW_MWh,microgrid_projects_count,stranded_renewable_capacity_MW,avg_retail_tariff_INR_per_kWh,domestic_tariff_INR_per_kWh,industrial_tariff_INR_per_kWh,commercial_tariff_INR_per_kWh,major_DISCOMs,RPO_target_percent,recent_policies_notes,major_projects_under_construction,grid_constraints_notes,resource_score_solar,resource_score_wind,notes,year,CO2_per_MWh,renewables_to_demand_ratio
Maharashtra,143000000,45141,52578,28816,17992.04633967558,3487.6225173920225,1452.8315940287084,1005.6667352053422,4243.826881569731,1172.759079051988,3023.2845987373908,1397.5927243184376,938.0984366546344,30.46612087800972,202.76296659062157,10.012110729877689,174.52979792666892,484.6614018656897,404.95595038169125,56,15,6.16,6.53,6.51,5.86,DISCOM-4,13.271943341318808,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.7,8.4,Notes placeholder,2015,0.0038564222030244887,0.21792745583122985
Manipur,60000000,7653,135890,1884,1175.4470406228074,374.7318793400848,102.23300323961476,117.80050630899092,110.47061499543538,17.168819978300462,214.96264052185768,117.1778851226773,25.303442652064028,40.01431816875732,36.02409468503523,24.513753874249687,5.4955560276320625,9.720359358585918,15.722331326187968,55,854,5.44,5.26,6.1,5.5,DISCOM-4,15.40198845885181,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,9.0,7.2,Notes placeholder,2015,0.0002650974662229394,0.06007839548128457
Meghalaya,78000000,2870,132519,22015,10493.905624927658,3793.995469992498,4292.750814827672,2065.930877084349,1954.741830393922,637.2198140847956,2980.802388118121,762.2568756240776,524.3490626581103,36.52726691399526,375.59563495829957,20.51311830120101,70.6376622761273,174.7078634069873,115.39420059566058,88,659,8.64,8.94,8.71,9.89,DISCOM-4,13.038713828520422,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,5.3,4.4,Notes placeholder,2015,0.002834277612706854,2.2073243582651276
Mizoram,85000000,26196,37735,24513,9951.058006975314,3564.7182543238264,2460.346125028253,1293.7094923466857,985.0791853601166,1163.82419055715,1981.8093547537717,847.1620370584228,550.1805495133433,39.34121465610552,248.52461147965982,13.944559474458156,123.2193009433446,285.10933516570657,296.3605471387798,32,586,8.58,7.72,9.53,8.78,DISCOM-2,14.275921872786672,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,4.8,6.9,Notes placeholder,2015,0.006586050390344768,0.19002423147539554
Nagaland,147000000,14646,199639,38039,16947.989334094826,2413.0780062795866,5250.687535095617,2061.841904446488,5668.999517749982,617.5582510765179,2962.4705830650996,1317.5098457166446,1705.7526330804492,30.070860008345427,510.27083332934836,11.844073720100624,202.45479752232148,619.3524125476621,457.89970465541415,59,447,6.9,6.52,7.37,8.06,DISCOM-3,15.955030952178454,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.5,4.0,Notes placeholder,2015,0.002555967688324167,0.7214623922988014
Odisha,126000000,36585,71883,36664,13076.080330586648,2204.701472771685,2460.1279257098868,1806.164753979734,3212.123385330492,1013.4795762366596,1200.368712056941,2393.5304308337772,606.0338837185793,18.95003258694117,353.4816862410001,20.219576677026456,348.02761688774086,558.1370308167494,990.3533612415118,71,760,8.62,9.07,9.73,10.03,DISCOM-1,14.901392175473228,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,7.6,7.5,Notes placeholder,2015,0.0049174587349025516,0.2137351948737972
Punjab,66000000,45780,188457,23647,15138.87554580837,3076.206425142173,1737.1247537871654,1146.7293257438305,697.0307165107724,285.70215898650133,1956.2585271169778,1201.3833759455388,755.9367112676489,52.84060445306814,382.84486448808593,19.947846774524177,120.41331672550145,283.3008031044923,357.336037596761,91,165,5.61,5.92,5.24,5.28,DISCOM-3,13.443991795818947,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,7.9,8.2,Notes placeholder,2015,0.002031470651066747,0.0904406897894231
Rajasthan,60000000,20244,15778,13743,4723.154490502305,1328.8040978591605,1798.723565162855,173.47031875246995,358.2692121090597,595.6882329198972,764.041987533159,734.6187359045379,290.9230392056002,25.670561510000407,115.49803178618507,23.8451771525548,78.90184307488424,252.0340993508873,261.8842657187018,63,811,7.23,6.85,8.27,6.78,DISCOM-1,11.47258446690811,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,5.2,7.8,Notes placeholder,2015,0.007320194687931618,0.12115284372982879
Sikkim,112000000,29786,152019,4680,1643.3785071701843,709.6596753559721,289.9440406766103,152.13205788868524,636.8314076621539,177.60697862737757,453.9781495317639,272.17706072520184,110.05903535223683,57.72884599172064,92.47742107837932,18.188609683741465,15.73328319867126,26.879195246231127,29.134342853363016,26,943,6.82,6.68,7.31,6.43,DISCOM-1,16.191316774642793,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,4.7,5.8,Notes placeholder,2015,0.0006083280450363397,0.05172207065555957
Tamil Nadu,6000000,16929,638,25349,16569.838624491862,1497.0497497119068,4336.567645860849,695.7079823819261,3525.899122228881,620.2581642972148,2001.5122632244634,663.3735197194638,1103.2702010032936,55.37110641016928,548.7674776647681,12.04298197670826,173.67851629020421,387.3067195097037,588.3609423500274,87,858,7.88,8.62,7.02,9.08,DISCOM-4,11.974276371638904,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,5.4,4.0,Notes placeholder,2015,0.8601371123272227,0.40232991136334234
Telangana,26000000,7605,89170,40714,17948.084880745202,5010.346429714905,4950.799163172136,992.0241382189284,4995.690845639716,1740.2268678597823,924.499170108731,1594.7451254444711,1195.3027657925927,21.10390509645507,439.0796256937201,11.167451832631858,171.071151263514,552.9580226329085,323.79740889816594,24,600,5.75,6.24,5.36,5.34,DISCOM-4,15.750694907724949,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,5.7,3.6,Notes placeholder,2015,0.004924073406905014,1.2169838276203417
Tripura,150000000,14487,18992,36559,23021.98697719258,5517.051993498032,2031.1630093223944,3521.736958743664,3778.1104221461355,317.86001472571405,2623.4172599834574,1287.4743014904807,1445.3930877511589,53.360912834372215,449.0828338207334,14.650871902717938,119.75447412827477,202.78038668778024,346.00887626038343,27,898,7.76,7.53,7.34,8.14,DISCOM-3,10.671433072665549,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,4.6,7.5,Notes placeholder,2015,0.023645894788370547,0.5526928969659548
Uttar Pradesh,88000000,35318,3045,14076,7639.677585365459,1593.1756342378458,1933.2910982342407,368.5819108299392,1860.0829488639056,600.5811070007444,572.9720746313473,200.5136835473709,201.66702294378217,15.59101114435227,294.7953117876495,12.283102528123583,103.65012471188507,333.1047337230173,187.09950897748985,97,910,8.99,8.55,9.82,10.72,DISCOM-1,15.63129444739918,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,4.3,8.0,Notes placeholder,2015,0.09681291027509015,0.09157228082120641
Uttarakhand,82000000,15835,93047,30876,21435.652715829856,1970.7818628394025,3034.158067694519,1005.4688105589684,2524.316535357977,895.5458203537685,2020.1624319862199,1421.1140435436948,1465.401524258973,12.015495489240449,458.33747563113957,21.20553227823871,233.896301622303,554.534221232057,474.1998819489597,25,573,5.45,5.96,5.8,6.4,DISCOM-2,16.947328676050276,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,5.8,8.0,Notes placeholder,2015,0.004925870534580799,0.4332894746600353
West Bengal,96000000,13725,69333,45354,14112.215075352186,4224.898152479918,4474.471444314327,2204.750668851126,4079.6490688240197,931.4887959420284,2453.039981899571,1638.89105409148,858.4957445862589,32.91912102817113,1025.2946103570896,18.26884795636358,269.34039387624995,432.68614334918345,942.623801692407,91,396,8.3,8.69,8.49,8.94,DISCOM-1,16.827589667424284,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.4,6.6,Notes placeholder,2015,0.014787974130025956,0.6632472787436866
Delhi,7000000,13191,118962,30027,17773.94808080767,3275.1613006561643,2978.402971681269,694.5731162445611,1631.20700721704,1369.3589998119112,3682.4195292103796,932.7462498460367,1274.3983023459125,44.72226385714697,319.5351295718265,18.36049579033053,144.132155360379,294.1899131836958,372.1444268201113,14,425,8.39,7.69,9.65,7.7,DISCOM-4,12.126669493540945,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.2,5.6,Notes placeholder,2015,0.0026860268789346722,0.5773430207024006
Jammu & Kashmir,149000000,28193,14170,47120,25991.3119806312,9097.52890920509,7140.8525765008535,3100.3541580280594,2462.8789461707206,2142.4198049133893,2103.440735220601,2570.1451038309074,989.3942662464996,58.77008971816032,517.0631166862051,19.703124532365024,351.5674303470591,798.9457038215977,976.2230921568254,18,341,6.91,7.39,7.67,7.66,DISCOM-1,11.725110378451935,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,5.1,6.3,Notes placeholder,2015,0.03648998706324666,0.3291201571360131
Ladakh,136000000,12703,70933,30190,13439.698230084708,5256.193399242105,2967.213785129123,1261.6263363384828,1643.4502500774065,1213.461807225242,2378.6964137720465,1697.800540702354,774.6937609066591,41.02499250032756,557.397546268542,19.209666010920028,159.47115423251518,391.79177438027534,552.1082650409373,93,425,5.21,4.99,4.79,6.2,DISCOM-5,11.479776250106331,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,4.1,8.9,Notes placeholder,2015,0.007858085041779454,0.5458087862534086
Chandigarh,24000000,12742,148973,3495,1240.9476348469284,301.38875016796834,386.6180153984091,188.1792838385128,429.6950916876528,19.136699340437396,219.75595407631212,158.0422143194524,64.6384728804719,47.39919104703805,29.70665546442376,21.2887748586176,11.68958159575321,21.87425054386185,20.837214394487315,62,333,7.54,7.26,6.43,8.97,DISCOM-1,12.894391434792118,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,5.1,3.7,Notes placeholder,2015,0.00019940966124347203,0.06487442783109831
Puducherry,30000000,45012,181658,41672,18720.20086218788,6579.305991909008,2705.804023900697,448.202223131033,4813.605985434323,1117.133767497942,1358.0523112456822,1529.419524593113,807.0668599995367,24.86916838001172,970.2213310217618,19.13932883113253,337.62960509413,694.7271518955648,1154.7473319578116,77,513,5.57,5.39,4.86,6.43,DISCOM-4,11.57199629416339,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,4.6,7.3,Notes placeholder,2015,0.005340922673495039,0.19590801539080824
Andaman & Nicobar Islands,109000000,48820,177414,39638,24208.067993596804,6374.909124562683,3347.3667332207656,2198.486475681036,3868.889484839574,1201.357486386291,1798.5229382112564,1944.1440535120835,503.1749552013432,13.26507623798803,945.4667374990948,17.078341321663576,277.6370130115313,426.9870644936573,710.1705346494712,81,984,8.11,8.39,7.52,7.39,DISCOM-3,13.157511099542958,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,4.6,4.9,Notes placeholder,2015,0.005329155182224035,0.18051851624230242
Lakshadweep,112000000,8328,46454,4995,2416.779583552175,875.8353999283544,776.2512658117107,222.1489069469561,301.9280571628907,33.513408751484704,174.84940973583332,301.98966151259674,101.77560822856182,56.891500307135495,54.39587803077268,20.152729343460628,10.448518016656719,25.258403005630853,36.32415478761248,92,71,5.84,5.26,6.42,5.98,DISCOM-2,14.141820906151017,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,4.6,7.8,Notes placeholder,2015,0.0011709621998271984,0.09753608755557222
Andhra Pradesh,111000000,41761,144986,47678,32650.17571113491,8691.828834619275,4641.835797166749,3489.496424092952,3943.809398045593,1234.4029311913903,2059.0663249557883,643.7204561382837,919.4405826843108,12.10207431513345,704.5903076087827,23.33146863888829,413.0362960760427,686.6404417148617,713.8742824821653,85,784,7.09,7.69,7.96,7.57,DISCOM-3,15.268163195105704,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,7.6,8.4,Notes placeholder,2016,0.004859712714391615,0.18871672398484363
Arunachal Pradesh,147000000,48788,92079,7212,3556.0585390750125,774.6694951271061,650.125339870969,214.39608995742145,877.5233694901406,130.96312128236949,646.0969459910733,76.57493253555606,201.9822834186841,53.15705662932418,151.78181676664667,16.980783099236817,23.749651377158443,26.44779134892414,28.414049492194167,91,352,8.18,7.51,7.7,7.94,DISCOM-5,17.119727939654062,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,7.5,4.4,Notes placeholder,2016,0.0016483868935006534,0.035483282145181996
Assam,35000000,2674,62256,46849,32223.597935464728,5000.813478088994,8743.676227509646,822.4548231572181,4272.932702335919,2399.8256790909745,5139.493246444072,1090.9043364280094,788.9884894020269,44.30718209890976,432.89979477426397,15.753026640808937,376.6792800823027,685.0489344723821,500.17799984318657,100,848,5.02,4.72,5.45,5.02,DISCOM-3,10.193110024505271,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.1,7.4,Notes placeholder,2016,0.00695354334962516,4.825413599214277
Bihar,122000000,25764,15341,3472,2069.9944017292974,418.5324749307716,346.4431967656589,176.81848478631647,452.94978882526453,175.44647419060573,178.6993751025546,99.72681180740165,153.14260709510833,48.32954082991021,55.5452563295467,10.492256033882462,22.0552843406922,39.6570043382084,36.689733063562464,23,163,7.93,8.35,7.84,8.83,DISCOM-4,12.061546164078354,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,5.3,7.6,Notes placeholder,2016,0.003620706363962369,0.03519726944285928
Chhattisgarh,20000000,3675,7406,18997,12490.338826664713,2474.162174377255,1427.9560559634904,1496.8999197922296,1249.0457134808044,672.7149632127799,2646.238697348826,1017.1013370269451,854.4610719892556,22.40900604870445,203.5423721596082,17.070037823002377,108.91593543992673,193.42166705456413,177.9564756771725,68,258,7.19,6.82,7.78,7.33,DISCOM-3,14.945724992541228,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.4,6.7,Notes placeholder,2016,0.02748344209554526,1.5197552955290763
Goa,85000000,32694,109861,28689,8698.905250111797,4553.026196997612,3509.4403991727154,1810.083497094617,1951.7500711158743,166.4529966996616,1203.6222762112077,1275.5338718235066,346.999727241064,38.96522430834915,219.25264203850713,24.226137687120804,332.08169556882495,802.9523165138687,381.0689801837295,10,787,6.61,6.65,7.53,6.06,DISCOM-2,10.941425137644472,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,4.9,6.5,Notes placeholder,2016,0.0019957277108210115,0.140617826385583
Gujarat,120000000,49014,7796,37153,15140.858567146524,2662.619624168205,7407.442248360026,3590.687951807064,5374.931766735774,2003.3600863760007,4135.016069214174,723.0380525019308,766.9419747559165,24.039800977973687,613.8059329747565,11.772133050787255,116.2889624741112,246.3037722351182,214.3451028090427,92,573,6.98,6.42,7.01,6.79,DISCOM-4,14.490825420024692,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,5.9,4.6,Notes placeholder,2016,0.07873344445545877,0.24965001784853058
Haryana,79000000,3370,52631,27846,17329.106491618968,4295.453058675108,2121.2657318993524,1870.138946935813,3149.5373150431196,632.1143906638467,1006.6013600237048,856.9127876509231,1212.7782339985265,36.6801047932271,679.1090830884208,16.4880581505359,170.55470092109627,286.3555483984314,344.96840943297315,75,97,6.5,6.51,5.8,6.0,DISCOM-2,15.372708265674504,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.1,4.0,Notes placeholder,2016,0.012903214514039649,1.6751233986295533
Himachal Pradesh,68000000,15505,73622,27270,15188.2714042353,1591.5936294771432,4893.982087325254,989.284383063904,2292.504749369377,636.115606486473,4100.270729579984,1314.4762278403048,486.2587018564673,56.11114704194952,176.6299233863947,18.46298711427181,97.40379238118915,146.12721632199984,203.8700849511309,59,578,8.62,9.47,8.63,10.17,DISCOM-5,14.978622864178918,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.2,7.6,Notes placeholder,2016,0.002399145953470358,0.5381081788633433
Jharkhand,130000000,25420,167715,19482,11452.09955319425,1403.835743470588,2400.6405367629573,608.9829512407271,2091.0984010193333,160.09007611193732,1836.1133354110245,218.01562610744173,803.8910169767522,19.164587999482173,274.8172364417244,18.089836850623573,109.98036322217555,237.35976841947544,186.1076417939951,64,572,5.27,4.81,5.97,4.75,DISCOM-1,16.540345255438393,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.3,4.1,Notes placeholder,2016,0.0016385966457485878,0.16936732646143732
Karnataka,125000000,11522,98916,40497,14665.30632862524,2560.2788646051845,7394.542014278887,985.288497792352,5610.472869983519,1814.1496119570525,1590.1770303491385,2133.3451917550137,1252.962082702901,37.10459956660495,870.6162831664707,20.3167021740112,454.56494366244743,661.0032270433657,886.5357765767452,26,221,6.9,7.03,6.99,6.38,DISCOM-4,13.380154577072014,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,7.0,6.8,Notes placeholder,2016,0.008801571870743567,0.9675529165114322
Kerala,123000000,38737,39805,21545,10215.226345026116,3856.395873374845,3214.7375538270844,1220.185610894372,2343.467333186469,503.1347367781128,1626.9530991408149,1213.263584361446,552.1088655606984,52.33046037844376,286.17151046049054,18.25052234987664,162.7182638344577,389.4610547405412,202.53181296351585,10,137,6.55,6.65,6.39,6.64,DISCOM-4,17.359601761069644,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.9,5.5,Notes placeholder,2016,0.007189335773407626,0.14680586399222562
Madhya Pradesh,10000000,1739,126553,43249,14505.953522779597,5558.901339007415,2648.702433279841,2535.18802699728,5864.766002584483,900.2879879147347,3901.917880037751,1429.3746508008596,1563.8663732287716,13.388792466933204,775.6972345597268,21.916545749556537,155.2337139194668,304.0297483576132,248.21113543625663,29,75,7.51,6.91,7.92,7.78,DISCOM-2,12.73275692245413,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,5.7,3.4,Notes placeholder,2016,0.00612942588923002,6.955920943840039
Maharashtra,143000000,45141,52578,28816,17992.04633967558,3487.6225173920225,1452.8315940287084,1005.6667352053422,4668.209569726705,1290.034986957187,3224.8369053198835,1457.4895553606564,938.0984366546344,30.46612087800972,207.8320407553871,10.012110729877689,244.34171709733658,484.6614018656897,404.95595038169125,56,15,6.16,6.53,6.51,5.86,DISCOM-4,13.271943341318808,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.7,8.4,Notes placeholder,2016,0.003952832758100101,0.23571854893255428
Manipur,60000000,7653,135890,1884,1175.4470406228074,374.7318793400848,102.23300323961476,117.80050630899092,121.51767649497893,18.88570197613051,229.29348322331487,122.19979448507776,25.303442652064028,40.01431816875732,36.924697052161115,24.513753874249687,7.69377843868489,9.720359358585918,15.722331326187968,55,854,5.44,5.26,6.1,5.5,DISCOM-4,15.40198845885181,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,9.0,7.2,Notes placeholder,2016,0.0002717249028785129,0.0642750106075398
Meghalaya,78000000,2870,132519,22015,10493.905624927658,3793.995469992498,4292.750814827672,2065.930877084349,2150.2160134333144,700.9417954932752,3179.522547325996,794.925027436538,524.3490626581103,36.52726691399526,384.98552583225705,20.51311830120101,98.89272718657826,174.7078634069873,115.39420059566058,88,659,8.64,8.94,8.71,9.89,DISCOM-4,13.038713828520422,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,5.3,4.4,Notes placeholder,2016,0.0029051345530245252,2.378259715571123
Mizoram,85000000,26196,37735,24513,9951.058006975314,3564.7182543238264,2460.346125028253,1293.7094923466857,1083.5871038961284,1280.206609612865,2113.929978404023,883.4689815037838,550.1805495133433,39.34121465610552,254.73772676665135,13.944559474458156,172.5070213206825,285.10933516570657,296.3605471387798,32,586,8.58,7.72,9.53,8.78,DISCOM-2,14.275921872786672,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,4.8,6.9,Notes placeholder,2016,0.006750701650103388,0.20465691988917392
Nagaland,147000000,14646,199639,38039,16947.989334094826,2413.0780062795866,5250.687535095617,2061.841904446488,6235.899469524981,679.3140761841697,3159.9686219361065,1373.974553390215,1705.7526330804492,30.070860008345427,523.0276041625821,11.844073720100624,283.43671653125017,619.3524125476621,457.89970465541415,59,447,6.9,6.52,7.37,8.06,DISCOM-3,15.955030952178454,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,6.5,4.0,Notes placeholder,2016,0.002619866880532271,0.7817258446699079
Odisha,126000000,36585,71883,36664,13076.080330586648,2204.701472771685,2460.1279257098868,1806.164753979734,3533.3357238635417,1114.8275338603255,1280.3932928607371,2496.1103064409394,606.0338837185793,18.95003258694117,362.3187283970251,20.219576677026456,487.23866364283737,558.1370308167494,990.3533612415118,71,760,8.62,9.07,9.73,10.03,DISCOM-1,14.901392175473228,Policy notes placeholder,Projects placeholder,Grid constraints placeholder,7.6,7.5,Notes placeholder,2016,0.005040395203275115,0.2302765301906668
