Year,Total_Water_Availability_Litre,Water_Demand_Agriculture,Water_Demand_Industry,Water_Demand_Energy,Water_Demand_Domestic,Water_Demand_Other,PerCapita_Availability,PerCapita_Demand,Crisis_Status
1945,1476867174491.54,232972237800,19414353150,7765741260,9566422514662.5,11648611890,3803.54,69.42,Normal
1946,1495955711797.87,236396976600,19699748050,7879899220,9760978911924.38,11819848830,3796.89,69.79,Normal
1947,1521474793561.8,239872059600,19989338300,7995735320,9959188074517.5,11993602980,3805.72,70.17,Normal
1948,1531760561979.89,243398227200,20283185600,8113274240,10161115366140.0,12169911360,3775.94,70.54,Normal
1949,1557225670461.05,246976230000,20581352500,8232541000,10366827254250.0,12348811500,3783.1,70.92,Normal
1950,1579905284997.22,250606830000,20883902500,8353561000,10576391372343.75,12530341500,3782.59,71.29,Normal
1951,1619781055118.34,255543465000,21295288750,8518115500,10843028649281.25,12777173250,3803.14,71.67,Normal
1952,1662260982330.96,260577345000,21714778750,8685911500,11116066676859.38,13028867250,3827.49,72.04,Normal
1953,1698540139088.48,265710386400,22142532200,8857012880,11395654196730.0,13285519320,3835.47,72.42,Normal
1954,1721432943969.93,270944541600,22578711800,9031484720,11681943251422.5,13547227080,3812.07,72.79,Normal
1955,1754625521793.02,276281803800,23023483650,9209393460,11975089433456.25,13814090190,3810.51,73.17,Normal
1956,1773211632947.74,281724202200,23477016850,9390806740,12275251722733.12,14086210110,3776.48,73.54,Normal
1957,1817418554883.79,287273809800,23939484150,9575793660,12582592869240.0,14363690490,3795.86,73.92,Normal
1958,1851668470664.67,292932736800,24411061400,9764424560,12897279152422.5,14646636840,3792.68,74.29,Normal
1959,1889639507868.36,298703138400,24891928200,9956771280,13219480768815.0,14935156920,3795.69,74.67,Normal
1960,1930564010404.51,304587208800,25382267400,10152906960,13549371616462.5,15229360440,3802.98,75.04,Normal
1961,1966492432954.07,310587188400,25882265700,10352906280,13887129661335.0,15529359420,3798.92,75.42,Normal
1962,1993560210297.16,316705359000,26392113250,10556845300,14232936774309.38,15835267950,3776.81,75.79,Normal
1963,2055118328974.16,322944050400,26912004200,10764801680,14586979076505.0,16147202520,3818.22,76.17,Normal
1964,2080887174938.24,329305636200,27442136350,10976854540,14949446803366.88,16465281810,3791.41,76.54,Normal
1965,2133171736821.12,335792537400,27982711450,11193084580,15320534518875.0,16789626870,3811.59,76.92,Normal
1966,2191184362493.82,342407221800,28533935150,11413574060,15700441142098.12,17120361090,3839.61,77.29,Normal
1967,2208509465124.14,349152207000,29096017250,11638406900,16089370138818.75,17457610350,3795.21,77.67,Normal
1968,2237972731334.18,356030060400,29669171700,11867668680,16487529578336.25,17801503020,3771.55,78.04,Normal
1969,2302729778686.16,363043398000,30253616500,12101446600,16895132134425.0,18152169900,3805.71,78.42,Normal
1970,2361235290567.33,370194890400,30849574200,12339829680,17312395421362.5,18509744520,3827.01,78.79,Normal
1971,2416154510157.25,377487257400,31457271450,12582908580,17739541802441.25,18874362870,3840.38,79.17,Normal
1972,2433393045492.01,384923274600,32076939550,12830775820,18176798757751.88,19246163730,3793.06,79.54,Normal
1973,2498593938848.19,392505772200,32708814350,13083525740,18624398890890.0,19625288610,3819.45,79.92,Normal
1974,2538520770143.44,400237635000,33353136250,13341254500,19082579991234.38,20011881750,3805.52,80.29,Normal
1975,2592533081287.47,408121806000,34010150500,13604060200,19551585268687.5,20406090300,3811.41,80.67,Normal
1976,2672563601662.12,416161285200,34680107100,13872042840,20031663362298.75,20808064260,3853.17,81.04,Normal
1977,2681564565689.06,424359131400,35363260950,14145304380,20523068492332.5,21217956570,3791.46,81.42,Normal
1978,2753752588431.06,432718465200,36059872100,14423948840,21026060673108.75,21635923260,3818.31,81.79,Normal
1979,2810725835683.04,441242466600,36770205550,14708082220,21540905666328.75,22062123330,3822.02,82.17,Normal
1980,2873421028960.96,449934380400,37494531700,14997812680,22067875313681.25,22496719020,3831.79,82.54,Normal
1981,2913352370992.19,457897911000,38158159250,15263263700,22562919564525.0,22894895550,3817.47,82.92,Normal
1982,2967752346737.36,466002390600,38833532550,15533413020,23068574592170.62,23300119530,3821.12,83.29,Normal
1983,3012378927828.06,474250314000,39520859500,15808343800,23585060928112.5,23712515700,3811.13,83.67,Normal
1984,3074071158720.57,482644219200,40220351600,16088140640,24112603538595.0,24132210960,3821.54,84.04,Normal
1985,3121370356775.54,491186691000,40932224250,16372889700,24651432054562.5,24559334550,3812.85,84.42,Normal
1986,3189089708831.25,499880359200,41656696600,16662678640,25201780734292.5,24994017960,3827.82,84.79,Normal
1987,3233352297350.09,508727898600,42393991550,16957596620,25763888514723.75,25436394930,3813.46,85.17,Normal
1988,3300676762345.54,517732033800,43144336150,17257734460,26337999306969.38,25886601690,3825.16,85.54,Normal
1989,3354182785992.32,526895536200,43907961350,17563184540,26924361899820.0,26344776810,3819.56,85.92,Normal
1990,3429483960263.43,536221226400,44685102200,17874040880,27523230136312.5,26811061320,3837.39,86.29,Normal
1991,3474574605258.2,545711974800,45475997900,18190399160,28134863000782.5,27285598740,3820.23,86.67,Normal
1992,3512631310718.12,555370702800,46280891900,18512356760,28759524737808.75,27768535140,3794.9,87.04,Normal
1993,3618157408999.54,565200384000,47100032000,18840012800,29397484972800.0,28260019200,3840.93,87.42,Normal
1994,3651504576197.03,575204044200,47933670350,19173468140,30049018771535.62,28760202210,3808.91,87.79,Normal
1995,3720308950082.97,585384761400,48782063450,19512825380,30714406699706.25,29269238070,3813.19,88.17,Normal
1996,3787517723786.3,595745671200,49645472600,19858189040,31393935167017.5,29787283560,3814.57,88.54,Normal
1997,3884920721117.38,606289961400,50524163450,20209665380,32087896207095.0,30314498070,3844.62,88.92,Normal
1998,3900050027511.69,617020878600,51418406550,20567362620,32796587887835.62,30851043930,3792.46,89.29,Normal
1999,4052386582708.82,627941725800,52328477150,20931390860,33520314250361.25,31397086290,3872.07,89.67,Normal
2000,4091385663247.55,639055864200,53254655350,21301862140,34259385469846.88,31952793210,3841.34,90.04,Normal
2001,4150801435460.41,650366715600,54197226300,21678890520,35014118051115.0,32518335780,3829.35,90.42,Normal
2002,4220217094097.22,661877761200,55156480100,22062592040,35784834832878.75,33093888060,3825.68,90.79,Normal
2003,4301206457704.61,673592544600,56132712050,22453084820,36571865218376.25,33679627230,3831.28,91.17,Normal
2004,4381943266783.64,685514671200,57126222600,22850489040,37375545213832.5,34275733560,3835.32,91.54,Normal
2005,4462246370325.93,697647811800,58137317650,23254927060,38196217696050.0,34882390590,3837.68,91.92,Normal
2006,4513466469163.36,705811050000,58817587500,23527035000,38804168133281.25,35290552500,3836.83,92.29,Normal
2007,4558554656499.37,714069807000,59505817250,23802326900,39421116282693.75,35703490350,3830.34,92.67,Normal
2008,4607314782806.04,722425200000,60202100000,24080840000,40047189446250.0,36121260000,3826.54,93.04,Normal
2009,4662676142591.02,730878360600,60906530050,24362612020,40682516746897.5,36543918030,3827.73,93.42,Normal
2010,4717044087168.94,739430431800,61619202650,24647681060,41327228977321.88,36971521590,3827.58,93.79,Normal
2011,4797711064755.69,748082572200,62340214350,24936085740,41981458848648.75,37404128610,3848.01,94.17,Normal
2012,4844258875540.87,756835951800,63069662650,25227865060,42645340771580.62,37841797590,3840.4,94.54,Normal
2013,4833932229036.44,765691755600,63807646300,25523058520,43319011073070.0,38284587780,3787.89,94.92,Normal
2014,4960786781539.56,774651181800,64554265150,25821706060,44002607911183.12,38732559090,3842.34,95.29,Normal
2015,5010450936278.72,783715443600,65309620300,26123848120,44696271392812.5,39185772180,3835.92,95.67,Normal
2016,5065508464045.49,792885766800,66073813900,26429525560,45400143453363.75,39644288340,3833.22,96.04,Normal
2017,5118032694151.45,802163392200,66846949350,26738779740,46114368009097.5,40108169610,3828.17,96.42,Normal
2018,5209284913269.14,811549576200,67629131350,27051652540,46839091008868.12,40577478810,3851.36,96.79,Normal
2019,5267298783579.67,821045589000,68420465750,27368186300,47574460347618.75,41052279450,3849.21,97.17,Normal
2020,5293897658583.62,830652715200,69221059600,27688423840,48320625917025.0,41532635760,3823.91,97.54,Normal
2021,5381331840352.95,840372255600,70031021300,28012408520,49077739727040.0,42018612780,3842.11,97.92,Normal
2022,5415703128394.1,850205524800,70850460400,28340184160,49845955783665.0,42510276240,3821.93,98.29,Normal
2023,5471016796748.51,860153853600,71679487800,28671795120,50625430245945.0,43007692680,3816.31,98.67,Normal
2024,5552138534340.38,870218589000,72518215750,29007286300,51416321444446.88,43510929450,3828.1,99.04,Normal
2025,5650613632632.98,880401093600,73366757800,29346703120,52218789864150.0,44020054680,3850.94,99.42,Normal
2026,5691883389839.6,886563901200,73880325100,29552130040,52786568779886.25,44328195060,3852.1,99.79,Normal
2027,5721607628902.55,892769848200,74397487350,29758994940,53359737864603.75,44638492410,3845.3,100.17,Normal
2028,5766124243299.1,899019237000,74918269750,29967307900,53938344784884.38,44950961850,3848.28,100.54,Normal
2029,5801456949341.15,905312371200,75442697600,30177079040,54522437555520.0,45265618560,3844.94,100.92,Normal
2030,5815378759263.87,911649557400,75970796450,30388318580,55112064649696.88,45582477870,3827.38,101.29,Normal
2031,5880415857975.24,918031104000,76502592000,30601036800,55707274929600.0,45901555200,3843.28,101.67,Normal
2032,5929786875332.07,924457321200,77038110100,30815244040,56308117648466.25,46222866060,3848.61,102.04,Normal
2033,5969911753771.09,930928522200,77577376850,31030950740,56914642526002.5,46546426110,3847.71,102.42,Normal
2034,6021574508181.92,937445021400,78120418450,31248167380,57526899641349.38,46872251070,3854.03,102.79,Normal
2035,6052068387930.89,944007136200,78667261350,31466904540,58144939545318.75,47200356810,3846.62,103.17,Normal
2036,6085635182897.18,950615185800,79217932150,31687172860,58768813189629.38,47530759290,3841.07,103.54,Normal
2037,6145115325616.37,957269491800,79772457650,31908983060,59398571966190.0,47863474590,3851.65,103.92,Normal
2038,6161380838206.08,963970378200,80330864850,32132345940,60034267709836.88,48198518910,3835.0,104.29,Normal
2039,6183429254045.73,970718170800,80893180900,32357272360,60675952663567.5,48535908540,3821.97,104.67,Normal
2040,6243953519870.5,977513197800,81459433150,32583773260,61323679518234.38,48875659890,3832.55,105.04,Normal
2041,6273014740427.09,984355789800,82029649150,32811859660,61977501415282.5,49217789490,3823.63,105.42,Normal
2042,6318323275370.05,991246279800,82603856650,33041542660,62637471949486.88,49562313990,3824.47,105.79,Normal
2043,6375461217872.03,998185003200,83182083600,33272833440,63303645171690.0,49909250160,3832.23,106.17,Normal
2044,6403473076554.25,1005172297800,83764358150,33505743260,63976075591539.38,50258614890,3822.31,106.54,Normal
2045,6460219307303.4,1012208503800,84350708650,33740283460,64654818180225.0,50610425190,3829.38,106.92,Normal
2046,6464694910227.28,1019293963200,84941163600,33976465440,65339928334755.0,50964698160,3805.4,107.29,Normal
2047,6563670425620.31,1026429020400,85535751700,34214300680,66031461918607.5,51321451020,3836.8,107.67,Normal
2048,6603791145408.58,1033614023400,86134501950,34453800780,66729475341939.38,51680701170,3833.42,108.04,Normal
2049,6628377710971.52,1040849321400,86737443450,34694977380,67434025410202.5,52042466070,3820.94,108.42,Normal
2050,6713111927323.93,1048135266600,87344605550,34937842220,68145169442540.62,52406763330,3842.89,108.79,Normal
2051,6767095977344.09,1055472213000,87956017750,35182407100,68862965196918.75,52773610650,3846.86,109.17,Normal
2052,6746483405660.18,1062860518200,88571709850,35428683940,69587470990025.62,53143025910,3808.49,109.54,Normal
2053,6815957707456.62,1070300541600,89191711800,35676684720,70318745583120.0,53515027080,3820.96,109.92,Normal
2054,6863137224426.03,1077792645000,89816053750,35926421500,71056848223640.62,53889632250,3820.66,110.29,Normal
2055,6906184079063.06,1085337193200,90444766100,36177906440,71801838687637.5,54266859660,3817.9,110.67,Normal
2056,7002508412428.28,1092934553400,91077879450,36431151780,72553777243363.12,54646727670,3844.24,111.04,Normal
2057,7023003363962.36,1100585095200,91715424600,36686169840,73312724654010.0,55029254760,3828.69,111.42,Normal
2058,7069836367956.96,1108289190600,92357432550,36942973020,74078742180448.12,55414459530,3827.43,111.79,Normal
2059,7070423355703.25,1116047214600,93003934550,37201573820,74851891624203.75,55802360730,3801.14,112.17,Normal
2060,7193696207722.54,1123859544600,93654962050,37461984820,75632235290503.12,56192977230,3840.53,112.54,Normal
2061,7154931060729.35,1126107263400,93842271950,37536908780,76040392961085.0,56305363170,3812.21,112.92,Normal
2062,7205513662331.56,1128359477400,94029956450,37611982580,76449880717216.88,56417973870,3831.5,113.29,Normal
2063,7225693968003.5,1130616196200,94218016350,37687206540,76860702287921.25,56530809810,3834.56,113.67,Normal
2064,7270448361087.2,1132877428200,94406452350,37762580940,77272861329129.38,56643871410,3850.61,114.04,Normal
2065,7208854854304.22,1135143183000,94595265250,37838106100,77686361586562.5,56757159150,3810.37,114.42,Normal
2066,7174249327731.0,1137413469000,94784455750,37913782300,78101206732303.12,56870673450,3784.51,114.79,Normal
2067,7279488775351.4,1139688295800,94974024650,37989609860,78517400528771.25,56984414790,3832.36,115.17,Normal
2068,7339821476368.2,1141967671800,95163972650,38065589060,78934946664200.62,57098383590,3856.41,115.54,Normal
2069,7338055412192.25,1144251606600,95354300550,38141720220,79353848917710.0,57212580330,3847.78,115.92,Normal
2070,7322846373932.24,1146540109800,95545009150,38218003660,79774111077178.12,57327005490,3832.14,116.29,Normal
2071,7316967329326.38,1148833189800,95736099150,38294439660,80195736855476.25,57441659490,3821.43,116.67,Normal
2072,7368593582714.63,1151130855600,95927571300,38371028520,80618730015161.25,57556542780,3840.71,117.04,Normal
2073,7331599229908.35,1153433116800,96119426400,38447770560,81043094369160.0,57671655840,3813.8,117.42,Normal
2074,7387769981207.44,1155739983000,96311665250,38524666100,81468833739159.38,57786999150,3835.35,117.79,Normal
2075,7403002342816.09,1158051462600,96504288550,38601715420,81895951870743.75,57902573130,3835.58,118.17,Normal
2076,7433514106511.74,1160367565200,96697297100,38678918840,82324452602298.75,58018378260,3843.7,118.54,Normal
2077,7497391838157.49,1162688299800,96890691650,38756276660,82754339738265.0,58134414990,3868.99,118.92,Normal
2078,7443051488415.1,1165013676000,97084473000,38833789200,83185617134137.5,58250683800,3833.29,119.29,Normal
2079,7431242978508.0,1167343702800,97278641900,38911456760,83618288611192.5,58367185140,3819.57,119.67,Normal
2080,7459850819933.38,1169678389800,97473199150,38989279660,84052358042034.38,58483919490,3826.62,120.04,Normal
2081,7401069046159.43,1168508711400,97375725950,38950290380,84234871733047.5,58425435570,3800.26,120.42,Normal
2082,7424632533330.01,1167340202400,97278350200,38911340080,84416936324182.5,58367010120,3816.18,120.79,Normal
2083,7425140710908.98,1166172861600,97181071800,38872428720,84598552528695.0,58308643080,3820.26,121.17,Normal
2084,7413983489704.13,1165006688400,97083890700,38833556280,84779721102408.75,58250334420,3818.34,121.54,Normal
2085,7425863380097.69,1163841681600,96986806800,38794722720,84960442756800.0,58192084080,3828.29,121.92,Normal
2086,7389716227542.66,1162677839400,96889819950,38755927980,85140718158313.12,58133891970,3813.46,122.29,Normal
2087,7438373020717.89,1161515161200,96792930100,38717172040,85320548059897.5,58075758060,3842.42,122.67,Normal
2088,7398034067785.52,1160353645800,96696137150,38678454860,85499933169744.38,58017682290,3825.4,123.04,Normal
2089,7389974112517.07,1159193292000,96599441000,38639776400,85678874194950.0,57959664600,3825.06,123.42,Normal
2090,7372974547013.18,1158034098600,96502841550,38601136620,85857371841515.62,57901704930,3820.08,123.79,Normal
2091,7379187694884.56,1156876064400,96406338700,38562535480,86035426814347.5,57843803220,3827.13,124.17,Normal
2092,7390778892731.87,1155719188200,96309932350,38523972940,86213039817256.88,57785959410,3836.98,124.54,Normal
2093,7334158628387.39,1154563468800,96213622400,38485448960,86390211552960.0,57728173440,3811.39,124.92,Normal
2094,7332466955359.33,1153408905000,96117408750,38446963500,86566942723078.12,57670445250,3814.33,125.29,Normal
2095,7334959108978.63,1152255495600,96021291300,38408516520,86743234028137.5,57612774780,3819.44,125.67,Normal
2096,7297250039004.2,1151103240000,95925270000,38370108000,86919086212875.0,57555162000,3803.61,126.04,Normal
2097,7304708964747.17,1149952136400,95829344700,38331737880,87094499930595.0,57497606820,3811.31,126.42,Normal
2098,7306873362291.56,1148802184200,95733515350,38293406140,87269475924118.12,57440109210,3816.26,126.79,Normal
2099,7337934740057.18,1147653381600,95637781800,38255112720,87444014844285.0,57382669080,3836.32,127.17,Normal
2100,7312678031931.3,1146505728000,95542144000,38216857600,87618117432000.0,57325286400,3826.94,127.54,Normal
2101,7303008640801.34,1145359222200,95446601850,38178640740,87791784381630.0,57267961110,3825.7,127.92,Normal
2102,7314126748445.41,1144213862400,95351155200,38140462080,87965016340320.0,57210693120,3835.36,128.29,Normal
2103,7278190066146.73,1143069648000,95255804000,38102321600,88137814046100.0,57153482400,3820.34,128.67,Normal
2104,7285599997524.36,1141926577800,95160548150,38064219260,88310178190051.88,57096328890,3828.06,129.04,Normal
2105,7263854383358.62,1140784651200,95065387600,38026155040,88482109508700.0,57039232560,3820.45,129.42,Normal
2106,7266712012025.87,1139643866400,94970322200,37988128880,88653608644672.5,56982193320,3825.78,129.79,Normal
2107,7234926062793.84,1138504222200,94875351850,37950140740,88824676285766.25,56925211110,3812.86,130.17,Normal
2108,7174536578449.84,1137365717400,94780476450,37912190580,88995313118683.12,56868285870,3784.82,130.54,Normal
2109,7232445332505.84,1136228351400,94685695950,37874278380,89165519876115.0,56811417570,3819.19,130.92,Normal
2110,7269018758362.5,1135092123000,94591010250,37836404100,89335297242984.38,56754606150,3842.34,131.29,Normal
2111,7247295581263.12,1133957030400,94496419200,37798567680,89504645855760.0,56697851520,3834.69,131.67,Normal
2112,7240780334802.03,1132823073000,94401922750,37760769100,89673566444259.38,56641153650,3835.08,132.04,Normal
2113,7240821976413.88,1131690249600,94307520800,37723008320,89842059690120.0,56584512480,3838.94,132.42,Normal
2114,7200772160110.04,1130558559000,94213213250,37685285300,90010126273884.38,56527927950,3821.53,132.79,Normal
2115,7196262947119.59,1129428000000,94119000000,37647600000,90177766875000.0,56471400000,3822.96,133.17,Normal
2116,7165702415085.71,1128298572000,94024881000,37609952400,90344982219862.5,56414928600,3810.54,133.54,Normal
2117,7166659261004.22,1127170273200,93930856100,37572342440,90511772937960.0,56358513660,3814.86,133.92,Normal
2118,7185349663574.02,1126043102400,93836925200,37534770080,90678139705455.0,56302155120,3828.64,134.29,Normal
2119,7194328806398.9,1124917059000,93743088250,37497235300,90844083245868.77,56245852950,3837.26,134.67,Normal
2120,7149019266836.66,1123792141800,93649345150,37459738060,91009604233584.38,56189607090,3816.91,135.04,Normal
2121,7132774491446.34,1122668349600,93555695800,37422278320,91174703341890.0,56133417480,3812.05,135.42,Normal
2122,7137905366966.59,1121545681200,93462140100,37384856040,91339381242978.77,56077284060,3818.61,135.79,Normal
2123,7147219361482.24,1120424135400,93368677950,37347471180,91503638607948.77,56021206770,3827.42,136.17,Normal
2124,7082472914220.91,1119303711000,93275309250,37310123700,91667476106803.12,55965185550,3796.54,136.54,Normal
2125,7051191265179.27,1118184406800,93182033900,37272813560,91830894408450.0,55909220340,3783.56,136.92,Normal
