datetime,state,district_name,market_name,commodity_name,variety,tempmax,tempmin,temp,dew,humidity,precip,windspeed,solarradiation,uvindex,min_price,max_price,modal_price
20-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,29,17.7,23.2,17.1,71.3,0,22.3,262.3,9,800,1000,900
21-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,29.2,16.2,22.3,15,66.7,0,20.5,267.5,9,800,1100,900
22-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,29,16.8,22.5,15.5,67.1,0,22.3,265.5,9,800,1200,1000
23-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,31,15.4,22.7,14.1,62.6,0,14.8,267.1,9,800,1200,1000
24-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,31,18.2,24.3,17.1,67.9,0,11.2,251.4,9,800,1000,900
25-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,31,18,23.7,16,65.8,0,20.5,245.8,9,800,1000,900
26-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,30,16,22.8,15,65.2,0,29.5,268.3,9,,,
27-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,29,15,22.5,15.3,67.9,0,24.1,252.5,9,800,1000,900
28-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,30,14.7,22.6,14.3,64.1,0,20.5,272.9,9,800,1000,900
29-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,31,16.8,23.1,14.9,64.7,0,14.8,274.8,9,800,1200,1000
30-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,30,16.5,23.2,15.3,65.1,0,13,260,9,800,1000,900
31-01-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,31,16.4,23.3,13.4,58.8,0,17.3,268.2,9,800,1100,900
01-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,31,15.6,23.3,16.5,68.6,0,18.7,269,9,800,1200,1000
02-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,31,18.5,24.6,16.9,65.4,0,18.4,272.8,9,,,
03-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,33,15.1,24.2,13.3,56.6,0,16.6,283.4,10,800,1000,900
04-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,33,16.1,24.7,13.6,56.1,0,16.6,275.1,10,800,1000,900
05-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,34,16,24.7,9.9,45.7,0,14.8,280.6,10,850,1000,950
06-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,33,16,24.7,8.5,40.9,0,16.6,285,10,800,1000,900
07-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,33,15,24.4,7.6,40.5,0,16.6,291.9,10,1400,1800,1600
08-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,33,17,24.6,8.5,41.1,0,18.4,290.7,10,,,
09-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,34,16,25,9.6,42.3,0,11.2,287.7,10,,,
10-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,34,19.1,25.9,12.7,46.4,0,11.2,285.7,10,800,1200,1000
11-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,33,18.1,25.3,10.7,44.1,0,18.4,282.2,10,800,1200,1000
12-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,32,19,25.3,12.9,50.9,0,18.4,280.4,10,800,1200,1000
13-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,32,18,25.7,16.2,58.1,0,16.6,262.4,9,800,1000,900
14-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,33,20.2,25.9,18.5,67.7,0,14.8,240.2,9,800,1100,900
15-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,32,20.2,26,18.5,66.6,0,11.2,239.6,9,800,1000,900
16-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,30,21.2,26.1,17.1,58.7,0,13,253.1,9,,,
17-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,33.1,20.7,26.9,15.6,53.5,0,18.4,261.7,9,800,1000,900
18-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,31,20,25.6,19.6,72.1,0,24.1,257.9,9,800,1000,900
19-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,32,19.8,25.2,18.2,67.5,0,18.4,249.3,9,800,1200,1000
20-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,31,19.5,25,18.7,71,0,14.8,258.8,9,800,1200,1000
21-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,33,19.7,25.8,18.6,67.6,0,20.5,268.4,10,800,1200,1000
22-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,34,20.1,26.4,16.6,59.8,0,11.2,274.4,9,800,1200,1000
23-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,33,18.5,25.6,15.4,58.6,0,13,287.8,10,,,
24-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,32,18.8,25.2,17.8,66.9,0,24.1,300.8,10,800,1200,1000
25-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,31,21.4,25.9,19.2,68.7,0.143,20.5,253.8,9,800,1200,1000
26-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,34,19.5,26.3,15.6,58,0,14.8,297.6,10,800,1200,1000
27-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,34,19.1,26.6,15,55.2,0,16.6,277.9,9,,,
28-02-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,34,20.8,26.7,18.9,65.5,0,18.4,259.1,9,800,1200,1000
01-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,31,21.6,26.4,21,74.1,2.856,16.6,223.6,9,800,1200,1000
02-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,34,21.3,27.2,19.6,67.8,0,13,249.7,9,,,
03-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,31,21.8,26.3,20.3,71.5,0.2,22.3,248.8,9,800,1200,1000
04-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,32,20.2,26.1,19.6,69.7,0.3,14.8,270.9,9,800,1200,1000
05-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,33,21.7,26.7,20,69.5,0.1,18.4,267.6,10,800,1200,1000
06-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,33,21.8,26.7,19.7,68.1,0.3,16.6,238.3,9,800,1000,900
07-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,31,21.7,25.7,20.7,75.9,0.786,20.5,199.7,8,800,1000,900
08-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,33,19.4,26.1,18.5,67.8,0,14.8,213.7,9,,,
09-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,33,18.9,26,17.1,62.8,0,20.5,255.9,9,,,
10-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,33,21.2,26.8,17.7,61.1,0,22.3,217.8,8,800,1000,900
11-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,32,19.9,26.3,16.7,59.5,0,20.5,230.3,9,800,1200,1000
12-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,34,19.9,26.7,14.5,51.1,0,27.7,287,10,800,1200,1000
13-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,34,17.9,26.5,10.3,40.5,0,25.9,311.1,10,800,1000,900
14-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,35,19,26.8,10.9,42.9,0,25.9,323,10,800,1200,1000
15-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,35,17,26.8,9.6,40.2,0,24.1,328.1,10,800,1200,1000
16-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,36,19,27.7,11,40.6,0,24.1,324.6,10,,,
17-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,36,19,28,11.3,42.6,0,16.6,328.1,10,800,1200,1000
18-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,37,20,28.9,8.6,35.1,0,16.6,325,10,800,1200,1000
19-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,36,19.2,28.5,8.2,33.2,0,18.4,317.7,10,800,1200,1000
20-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,37,20,29.3,11.5,41.3,0,20.5,315,10,800,1200,1000
21-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,37,22,29.5,13.4,42.9,0,13,307.1,10,800,1200,1000
22-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,36,23.2,29.4,15.5,45.5,0,14.8,292.1,10,800,1200,1000
23-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,37,22.2,29.7,13.4,40.1,0,20.5,313.2,10,,,
24-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,37,22,29.6,10.6,37.9,0,24.1,326.5,10,800,1200,1000
25-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,38,20,29.1,11.4,38.3,0,18.4,330.6,10,800,1200,1000
26-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,37,21,29,10.6,37.7,0,27.7,322.5,10,1000,1400,1200
27-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,37,19,28.2,10.1,39.3,0,22.3,329,10,800,1200,1000
28-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,36,20,28.6,9,34,0,25.9,320,10,800,1200,1000
29-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,38,21.4,30,9.7,31.8,0,24.1,315.3,10,800,1200,1000
30-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,38,21,30.1,11.4,35.2,0,18.4,315.3,10,,,
31-03-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,38,23,30.2,12.3,36.1,0,14.8,300.1,10,,,
01-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,38,23,30,14.7,43.3,0,13,291.9,10,800,1200,1000
02-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,38,24.3,30.6,15.5,43.7,0,18.4,286.3,9,800,1200,1000
03-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,38,24.9,31.3,14.2,38.9,0,20.5,302.2,10,800,1200,1000
04-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,37,22.9,29.9,13.1,41.6,0,20.5,302.7,10,800,1200,1000
05-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,38,23,30.3,13.2,39.5,0,16.6,320.3,10,1000,1400,1200
06-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,38,23,30.8,13.2,40.3,0,24.1,319.4,10,,,
07-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,38,23,30.5,13.6,42.2,0,18.4,299.7,10,1000,1400,1200
08-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,39,23,30.8,14.5,42.8,0,16.6,258.1,9,1000,1200,1100
09-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,36,21.7,29.4,18.5,55.6,6.427,38.9,197.3,8,1000,1200,1100
10-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,35,21.8,28.2,19.2,62,0.6,18.4,212.4,9,1000,1200,1100
11-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,37,23,29.7,18.9,57.1,0,18.4,255,9,800,1200,1000
12-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,35,24,29.2,20.1,60.2,0,14.8,238.8,9,,,
13-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,36,23.5,29.3,19.9,60.5,3.57,13,254.9,9,,,
14-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,36,24.9,30.3,20,58.1,0,16.6,260.2,10,,,
15-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,35,24,29.5,19.5,57.2,0.2,22.3,276.7,10,1000,1200,1100
16-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,37,23.7,30.1,19.2,56.8,0,13,254.5,8,800,1200,1000
17-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,36,23.7,30.2,19.9,58,0,22.3,314.5,10,,,
18-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,37,24.1,30.7,18.5,50.9,0.286,16.6,289.2,10,,,
19-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,38,23.8,31,17.5,47.9,0,14.8,301.3,10,800,1200,1000
20-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,38,24.7,30.8,12.9,41.1,0.4,22.3,175,6,,,
21-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,38,22.4,30.2,10.7,35.1,0,22.3,279.2,9,800,1200,1000
22-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,38,22,30.6,11.3,35.2,0,25.9,302.4,10,1000,1400,1200
23-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,37,23,30.1,14.1,42.7,0,18.4,257.1,8,800,1200,1000
24-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,38,23,30.5,15.2,43.8,0,13,290.2,10,800,1200,1000
25-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,38,24.7,31.3,18.3,49.7,0,14.8,258.1,9,800,1200,1000
26-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,39,26.4,32.4,19,48.6,0,16.6,247.5,10,800,1200,1000
27-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,38,26.3,31.9,18.6,47.8,0,13,178.6,7,,,
28-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,39,26,32.2,17.6,46.4,0,22.3,188.1,6,800,1200,1000
29-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,39,25,31.6,16.3,43,0,18.4,239.1,8,800,1200,1000
30-04-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,38,25.7,31.6,17.9,47.5,0,16.6,237.1,8,800,1200,1000
01-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,37,25.7,31.7,19.1,50.8,2.4,20.5,177.9,6,,,
02-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,38,25.8,31.3,18.6,48.6,0.286,24.1,215.4,9,,,
03-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,37,22.4,30.7,20.3,57.9,0.6,22.3,284.1,10,1000,1200,1100
04-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,37,24,30.6,19.8,56.1,2.3,20.5,259.9,8,,,
05-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,36,24.1,29.9,20.8,61.2,0.2,20.5,284.5,10,1000,1200,1100
06-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,33,23.3,28.3,22.2,71.3,0.714,18.4,220.3,8,1000,1300,1100
07-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,32,21.9,27.4,22.5,76.2,0.071,24.1,183.5,6,800,1200,1000
08-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,31,22.3,25.7,23.1,86.3,7.784,33.5,116.2,4,800,1200,1000
09-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,31,21.9,26.7,23.1,81.8,0.071,33.5,269.5,9,800,1200,1000
10-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,36,21.4,28.6,21.7,70.1,8.569,20.5,243.3,9,,,
11-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,36,23.6,30.2,19.9,58.5,1.1,16.6,224.4,7,,,
12-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,38,24,31.3,17.3,47.7,0,14.8,241.1,9,800,1200,1000
13-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,38,24.4,31.8,17.8,45.7,0.071,14.8,203,7,800,1200,1000
14-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,37,23.9,31.6,17,45.9,0,20.5,251,9,800,1200,1000
15-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,37,24.8,31.3,16.8,45.4,0,16.6,288.1,10,1000,1200,1100
16-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,37,24.4,31.5,17.6,47.8,0,18.4,287.9,10,1000,1200,1100
17-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,36,23.1,29.1,21,64.3,2.856,31.5,260.8,10,800,1200,1000
18-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,37,23.3,30.4,20.4,58.9,0,14.8,185.9,7,,,
19-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,39,24.9,31,20.4,57.2,0,16.7,267.3,9,800,2200,2000
20-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,36,23.2,27.7,22.9,78.4,6.426,22.3,165.2,6,800,1200,1000
21-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,35,22.2,28.7,22,70.2,0.7,18.4,257.2,9,800,1200,1000
22-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,36,23.4,30.2,21.9,64.1,1.7,24.1,230,9,800,1200,1100
23-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,37,24.4,31.3,21.5,59.7,2.3,22.3,183.3,6,800,1200,1000
24-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,37,24.1,31.3,20.8,57.3,3.9,22.3,250.6,9,800,1200,1000
25-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,36,21.9,30,19.9,57.9,6.427,25.9,159.3,6,,,
26-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,35,23.9,30.2,22,63.7,1.7,18.4,182.6,6,800,1200,1100
27-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,36,22.5,28.9,23,71.9,11.425,24.1,237.2,8,800,1200,1000
28-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,35,21.4,28.9,21.8,69.9,2.142,14.8,198.7,7,,,
29-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,36,22.9,29.5,20.9,62.9,5.5,20.5,251.1,9,1000,1200,1100
30-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,36,23,30,21.4,63,1,22.3,220.4,8,1000,1200,1100
31-05-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,37,24,30,21.3,62.3,2.7,24.1,270.4,9,800,1200,1000
01-06-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,37,22.6,29.6,21,62.9,9.997,22.3,232.6,8,,,
02-06-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,37,21.8,29.2,22.5,70.9,19.281,50,115.1,3,800,1200,1000
03-06-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,32,21.4,26.7,22.8,80,1.4,18.4,155.8,5,800,1200,1000
04-06-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,34,23.5,29.1,23,71.4,0,20.5,291.9,10,800,1200,1000
05-06-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,34,23.6,29.4,23.1,70.5,7.2,24.1,204.5,7,1000,1200,1100
06-06-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,34,20.6,28.1,23.1,76.3,48.557,25.9,177.2,6,800,1200,1000
07-06-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,34,24.1,29.2,23.5,73.1,0,24.1,180.3,6,,,
08-06-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,34,21.5,28.8,23.2,73.4,0.4,27.7,264.9,9,,,
09-06-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,31,22.4,27.7,22.4,73.7,3.1,33.5,157.4,8,800,1200,1000
10-06-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,32,23.4,28.1,21.7,69.4,0,35.3,229.6,8,800,1200,1000
11-06-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,34,23.3,28.9,22,68.3,0.428,33.5,313.4,10,1000,1200,1100
12-06-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,34,21.9,28.3,22,70.6,0,31.5,283.2,9,800,1200,1000
13-06-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,34,23.3,27.6,21.9,72.8,4.284,31.5,244.6,9,1000,1500,1300
14-06-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,33,21.4,27.6,21.3,70.3,0,37.1,267.6,9,,,
15-06-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,33,22.9,28,21.3,68.7,0,31.5,273.9,9,,,
16-06-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,34,21.1,28.4,20.4,64.3,0,31.5,312.7,10,800,1300,1100
17-06-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,33,22.3,27.6,21.1,69.4,0,35.3,264.2,9,800,1200,1000
18-06-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,32,23.3,27.4,21.4,70.8,0.214,38.9,258.7,9,1000,1200,1100
19-06-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,33,22.3,27.3,21.5,72.1,0,35.3,233.8,8,800,1200,1000
20-06-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,33,22.6,27.7,21.5,70.3,0,38.9,226.7,8,800,1200,1000
21-06-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,33,22.6,27.8,21.7,71,4.9,37.1,257.2,9,1000,1200,1100
22-06-2014,Karnataka,Bangalore,Binny Mill (F&V),Banana - Green,Banana - Green,34,22.6,28,21.5,69.7,0.4,33.5,209.4,6,,,
